,precision,recall,f1-score,support
1,0.6060606060606061,0.7692307692307693,0.6779661016949152,26.0
2,0.8571428571428571,0.75,0.8,24.0
3,0.4117647058823529,0.2916666666666667,0.34146341463414637,24.0
4,0.8387096774193549,0.9285714285714286,0.8813559322033898,28.0
5,0.45454545454545453,0.45454545454545453,0.45454545454545453,22.0
accuracy,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129
macro avg,0.6336446602101251,0.6388028638028638,0.6310661806155812,124.0
weighted avg,0.6427034535316349,0.6532258064516129,0.6427436023950179,124.0
