feature,importance
B12,0.13370675810147584
NDWI,0.09473436567792506
NDVI,0.08669899261364895
B4,0.0765476886387041
B8,0.07274929031583799
B5,0.06897698190856785
B6,0.06715078674981911
B8A,0.06664292868941626
B11,0.06605791101481365
B7,0.058531913224180845
BSI,0.058307799615160125
B2,0.053508153631610884
B3,0.0486410240685999
NDBI,0.047745405750239556
